Model,PR-AUC,ROC-AUC,Precision@0.5,Recall@0.5,F1@0.5,train_time_s
XGBoost,0.38042767029177066,0.8165422569554289,0.15165546206016353,0.6919691224268689,0.248785772540809,14.2
Random Forest,0.3770887890563181,0.8172463116571806,0.14884877935901886,0.6969122426868906,0.24530460482410144,218.0
Logistic Regression,0.2553736938947532,0.7895248204009973,0.12060576988967313,0.7150595882990249,0.20639915563981784,1.8
